companyName,company_starRating,company_offeredRole,company_roleLocation,listing_jobDesc,requested_url,compensation_and_benefits,culture_and_values,career_opportunities,work_life_balance,job_type,industry,job_function,company_size,estimated_salary
Sionic,NaN,Junior Data Scientist,"London, England","Leadership - We provide thought leadership; we take ownership and accountability, and we display ingenuity, resourcefulness, and versatility. Expertise - We develop and implement best-practice solutions; we offer expert advice, and we share knowledge and grow talent. Teamwork - We work in partnership; we interact with respect and understanding, building team performance. Support the design of Customer-specific technical solutions throughout the project life cycle. Be integral to the delivery of successful deployments and Pilots Work on various data sources and apply sophisticated feature engineering capabilities Extract insights and actionable recommendations from large volumes of data and Investigate anomalies in Big Data Willingness to travel abroad to customers as needed Experience in applying data analytics/machine learning solutions to solve problems Hands-on experience using analytical software such as: C++, Python / R / SQL and strong Excel Ability to translate analytical ideas into code using Python and at least one other programming language Basic understanding of the key principles behind ML, AI, data wrangling and the common algorithms A motivated, self-starter who can demonstrate above average analytical and technical skills Strong interpersonal relationship building and a desire to share idea's contributing to the team's performance and development Excellent English (speaking, presenting, reading) Minimum Mathematics or Computer Engineering degree (preferably master's in data sciences or Mathematics) or up to 1 year in a Data Scientist role Familiar with one or more Big Data toolkits such as Spark, HIVE, etc Experience working with financial Services customers Financial Crime domain knowledge Experience in building Machine Learning pipeline Prior experience developing and maintaining Machine learning models (AML & Fraud)",https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=1136043&s=58&guid=0000017b593817d59a9b27b61b4a7ce8&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0a7c89b7&cb=1629289453995&jobListingId=1007219246974&jrtk=2-0-1fdcjg612u3ek801-1fdcjg61gu1i3800-3e17bb0bdf34b862,NaN,NaN,NaN,NaN,Full-time,NaN,data scientist,NaN,NaN
Avant Arte B.V.,NaN,Data Scientist,Remote,"
Collect, clean, store and analyse considerable amounts of heterogeneous data; 
Design and build out data science pipelines and models in production; 
Design and maintain the right setup for data visibility and actionability across the company; 
Work with the product teams on modelling and solving core problems like pricing, allocation and lead generation; 
Collaborate with the operations team on modelling key aspects of company growth; 
Always thrive, create a data informed culture where each individual can use data to make better decisions while being self-sufficient on getting that data; and 
Growth your own horizontal data team when the time arrives. 
Track record of performing data analysis over large amounts of heterogeneous data; 
Experience using statistics and machine learning to solve complex product and operation challenges; 
Experience with scripting technologies; 
Experience with data visualization tools such as Metabase, Tableau or similar; 
You are comfortable working in a discovery phase environment where most of the things are yet to be built; 
You are a good communicator when it comes to explaining data and your work. You’ll get to be part of building one of the fastest growing tech companies in culture, backed by early investors in companies like Skype, Farfetch, Glossier & Facebook

 We offer competitive salary, equity & holiday allowance, as well as flexible working hours

 We have offices in both London and Amsterdam and are fully supportive of remote working 
We have a learning & development budget for every person at the company",https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=0000017b593817d59a9b27b61b4a7ce8&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a2ace846&cb=1629289453992&jobListingId=1007232935436&jrtk=2-0-1fdcjg612u3ek801-1fdcjg61gu1i3800-02f612194abd6ee5,NaN,NaN,NaN,NaN,Full-time,NaN,data scientist,NaN,NaN
Novafutur,4.7,Junior Data Scientist,"London, England","Ability to analyse big data sets coming from heterogeneous producers both in real time and offline. 
Apply complex algorithms producing readable reports using BI tools and online KPIs 
Creating machine learning tools to generate predictions and insights 
Apply deep learning techniques in a commercial setting University degree in a scientific field (Maths, Statistics, Computer Science, Data Science) 
Knowledge of Python and SQL 
Knowledge of the following algorithms: Linear and logistic regression 
LDA 
SVM 
K-nearest neighbors 
K-means clustering 
Classification and Regression trees 
Naive Bayes A high level of mathematical ability 
Thorough grounding in statistics 
Problem solving skills on high level 
Methodical and logical approach 
Accuracy and attention to detail 
Natural passion for data analytics",https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=1136043&s=58&guid=0000017b593817d59a9b27b61b4a7ce8&src=GD_JOB_AD&t=SR&vt=w&cs=1_b6ed90e7&cb=1629289453995&jobListingId=1006542270098&jrtk=2-0-1fdcjg612u3ek801-1fdcjg61gu1i3800-65cc8df228f482e3,4.5,4.7,5.0,4.7,N/A,Information Technology,data scientist,51 to 200 Employees,NaN
Greenlight Digital,4.1,Junior Data Scientist,"London, England","Data pipelines – helping to build and maintain complex data pipelines running in the cloud. Data Wrangling/Cleaning – Retrieval and collection of open and closed data sources, including data processing, cleansing and verification to help power our bespoke reporting platforms and client specific projects Data Analysis/Reporting/Visualisation – you will be helping with data analytics coming from various platforms and piecing together a compelling story for internal stakeholders and our clients. Automated tests and monitoring - You will help us to keep our systems up to date, accurate and fully working through writing code driven tests and monitoring tools. API/Development - Where applicable, work with developers to integrate specialist third party applications. Maintenance / Admin – helping to manage day to day operations through maintenance of our development roadmap. 
Good understanding of statistics
 Experience with Python or R (R preferred)
 Understanding and working knowledge of SQL
 Bachelor’s degree in Computer Science, Mathematics or equivalent quantitative discipline ideal but not necessary
 Show a highly committed attitude
 Must have good analytical skills, methodical, accurate and show great attention to detail
 Communicates in clear and concise manner both written and verbal
 Must be flexible/adaptable to change 
Dynamic working: To keep that work-life harmony in check, we're flexible on where and when you work Above-statutory employer’s pension contribution: It matters, so we make sure it’s done properly (4% contribution) Private medical insurance: To keep you fighting fit and give you and your family peace of mind Life assurance and income protection: We know it feels good to be covered, just in case Calm Subscription: Now more than ever, it’s important to mind your mind! Perkbox: An employee benefits platform choc-a-block with discounts
 25 days annual leave: This increases to 27 days after three years with us, and then increases every subsequent year up to a max. of 30 days Christmas closure: No need to save holiday days for the Christmas closure period. It's on us!",https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=1136043&s=58&guid=0000017b593817d59a9b27b61b4a7ce8&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_54ec3288&cb=1629289453996&jobListingId=1007125790562&jrtk=2-0-1fdcjg612u3ek801-1fdcjg61gu1i3800-fb806cd80d150ca3,3.7,4.4,3.9,4.2,Full-time,Business Services,data scientist,51 to 200 Employees,"£25,000 (Employer Est.)"
Simprints,4.4,Data Scientist,"Cambridge, East of England, England","Revealing the real-life implications of information hidden in programme data and coming up with high-quality recommendations 
Visually communicating information clearly to help our impact partners understand and improve their programmes 
Developing and calculating metrics to track the performance and progress of our projects and products 
Working with cutting edge biometric technology to help partners improve data quality 
Collaborating with Senior Data Scientist to develop and maintain data models and company-wide dashboards 
Building out team data science capabilities by contributing to reviews and design decisions Comfort with a scripting language (like Python or R) and a relevant data analysis package (e.g. Pandas) and experience with SQL 
Analytical mindset and ability to break down complex ideas into simple pieces 
Experience cleaning, exploring, and drawing insights from complex data pipelines 
Ability to communicate insights to a wide audience, e.g. through data visualisation 
Experience with git and running analyses in the cloud 
Experience running statistical analyses 
Integrity. You have an unwavering commitment to ‘confronting the grey’ in all areas of your work, and encourage transparency in all your interactions. 
Problem-solving. You understand the importance of rigorously detailed data, and have a strong ability to synthesise complex and potentially competing requirements, and convert them into recommendations that drive impact decisions. 
Curiosity. You have a desire to think innovatively and explore and understand how different perspectives and complex data blend together to create the bigger picture and context.
 Learning. You love learning new things, like to share what you learn, and can pick up new tools and methods quickly.
 Grit. You have a hands-on, can-do attitude and have the drive to dig deep into problems to discover pain points and features from multiple perspectives, and resilience to stay focused on a project to the end.
 Passion. If being part of a team that designs and deploys technology for global health sounds exciting, we want to meet you!
 
Social impact. Work with our partners and users to deliver technology that has the potential to impact millions of lives.
 An incredible, diverse team. Ask any “Simprinter” what their favourite thing about working at Simprints is, and the answer is likely to be “the people.” Our work is at the intersection of technology and global development, and we’ve managed to build an amazing team drawn from the best technology companies, iNGOs, UN agencies, and universities around the world.
 Flexible hours. More efficient late at night? Better before the sun rises? That’s fine by us. We are looking for people who get the job done, not for people who work between 9 am and 5 pm. 
Unlimited paid time off. We set high standards and goals, but give people the freedom to choose when and how to recharge. Join a team that trusts you with the job. 
Professional development and wellbeing. We promote continual learning with self-directed learning objectives, external mentors, and regular one-on-one feedback. We also put our money where our mouth is with a dedicated ‘Learning & Wellness’ budget, managed by our Talent and Operations team.",https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=1136043&s=58&guid=0000017b593817d59a9b27b61b4a7ce8&src=GD_JOB_AD&t=SR&vt=w&cs=1_6a24de17&cb=1629289453995&jobListingId=1007214736648&jrtk=2-0-1fdcjg612u3ek801-1fdcjg61gu1i3800-4329fd23126b9104,3.4,4.7,4.1,3.6,Full-time,Information Technology,data scientist,1 to 50 Employees,NaN
Mersey Care NHS Foundation Trust,3.7,Population Health Data Scientist,"Prescot, England","Our strategy is to incorporate population health management into our work alongside providing excellent clinical services, in order to advance the health of the people and communities we serve and to intervene earlier in people’s care. We are seeking to recruit a highly motivated, proactive and enthusiastic individual to join the small strategy and commissioning team as we implement this strategy.

Working to the Director of Strategic Analytics, Economics and Population Health Management and through matrix working with clinical colleagues, you will play a key role in supporting the work required for transformation change in our approach to collaboration and integration with other health, Council and voluntary and community sector partners.

Shortlisting date is planned for week commencing 23rd August

Interview date is TBC

The post holder will be part of the Population health analytical team. The post holder will participate actively in the formulation of Trust Population Health Strategy. They will work collaborative across the health and care system, engaging in and developing external networks and partnerships.
The post holder will support the Director on the development and implementation of a population health strategy for Mersey Care, which will also be the basis of a population health management strategy for all NHS organisations and the local authorities. Working with a high level of technical and analytical capability, the post holder will work collaboratively across the health and care system, building analytical capability in external networks and partnerships with local universities, acute Trusts, primary care networks and local authorities to improve health outcomes in the local population.

Mersey Care NHS Foundation Trust provides specialist inpatient and community mental health, learning disabilities, addiction and acquired brain injury services for the people of Liverpool, Sefton and Kirkby, Merseyside. We also provide community physical health services in
Liverpool, Sefton, secure mental health services for the North West of England, the West Midlands and Wales and specialist learning disability services across Lancashire, Greater Manchester, Cheshire and Merseyside.

Our ambition is to deliver perfect care to become the world’s leading organisation in holistic health and well being.

Mersey Care’s vision and values of Continuous Improvement, Accountability, Respect, Enthusiasm and Support (CARES) drive our organisation and the way we work together to deliver services. Applicants will be expected to demonstrate, during recruitment and any subsequent employment with the Trust, that their behaviour supports our values.Show more ",https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=1136043&s=58&guid=0000017b593817d59a9b27b61b4a7ce8&src=GD_JOB_AD&t=SR&vt=w&cs=1_99b07fb7&cb=1629289453995&jobListingId=1007230429598&jrtk=2-0-1fdcjg612u3ek801-1fdcjg61gu1i3800-20153f36038621ed,3.2,3.7,3.5,3.1,Full-time,Health Care,data scientist,201 to 500 Employees,"£47,126 - £53,219 (Employer Est.)"
Dragonfly AI,5.0,Junior Data Scientist (Computer Vision),"London, England","Data science graduate / post-graduate qualification Python Open CV Machine learning API integration
 Database technologies: SQL/Postgres C++ Video processing Salary range £25k – £35k salary for a recent data science graduate
 25 days holiday per year UK based role (remote first) Training and development opportunities Great company culture Regular team meet-ups / days out Cycle to work scheme",https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=1136043&s=58&guid=0000017b593817d59a9b27b61b4a7ce8&src=GD_JOB_AD&t=SR&vt=w&cs=1_d5c2cfe1&cb=1629289453994&jobListingId=1007242773594&jrtk=2-0-1fdcjg612u3ek801-1fdcjg61gu1i3800-86b49cc5848be215,4.0,5.0,5.0,4.0,Full-time,NaN,data scientist,1 to 50 Employees,"£25,000 - £35,000 (Employer Est.)"
Eyecademy Ltd,3.0,Consultant Data Scientist,"Glasgow, Scotland","A numerical degree with a minimum 2:1 grade or equivalent Over 18 months years of experience in operational research, customer analytics, BI analytics, data science Excellent experience with Excel and SQL. Highly advantageous to have used Python or R as well as cloud computing platforms and big data tools A commercially insightful and results-driven nature An excellent level of consulting communication skills The ability to mentor less experienced members of the team Company pension Monday to Friday Yes",https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=1136043&s=58&guid=0000017b593817d59a9b27b61b4a7ce8&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b31c0f4a&cb=1629289453996&jobListingId=1007240007961&jrtk=2-0-1fdcjg612u3ek801-1fdcjg61gu1i3800-78e117a388b75cfe,2.0,3.0,4.0,3.0,Full-time,Business Services,data scientist,1 to 50 Employees,"£30,000 - £45,000 (Employer Est.)"
Merck KGaA Darmstadt Germany,NaN,"Graduate Apprentice, Data Scientist","Irvine, Scotland","A minimum of four SQA Highers at Grade BBBB (or equivalent) including Computing or Maths plus Nat 5 English at C. Nat 5 Maths at C is also required if not taken at Higher.
 A Foundation Apprenticeship in IT: Software Development at SCQF Level 6 plus two SQA Highers at Grade BB. National 5 English at C. National 5 Maths at C are required as a minimum if not taken at Higher.
 A Modern Apprenticeship at SCQF Level 6-7 in an ICT/Digital related discipline
 Excellent communication skills with ability to liaise with multi-disciplinary teams
 Effective problem solving and organisational skills
 Ability to participate as part of a team and use own initiative
",https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=1136043&s=58&guid=0000017b593817d59a9b27b61b4a7ce8&src=GD_JOB_AD&t=SR&vt=w&cs=1_67c02cd9&cb=1629289453996&jobListingId=1007237541775&jrtk=2-0-1fdcjg612u3ek801-1fdcjg61gu1i3800-3fac107e9121aff8,NaN,NaN,NaN,NaN,Full-time,NaN,data scientist,NaN,NaN
Transolved,NaN,Data Scientist,"London, England","Contribute to the research articles Discover new data sources Collect, process and present data Time-series data analysis Build quantitative models (Regressions, Classifiers) for descriptive and predictive analytics Develop features for the company’s data-based software Collaborate with colleagues, communicate ideas and results coherently Proficient in Excel, Python, R, SQL Experience in coworking on Github, Google Colaboratory Degree in Maths / Statistics / Computer Science Bonus scheme Company events Flexible schedule Sick pay Work from home Monday to Friday Are you settled in the UK? Bachelor's (preferred) Yes",https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=0000017b593817d59a9b27b61b4a7ce8&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b9e6a56c&cb=1629289453989&jobListingId=1007181009324&jrtk=2-0-1fdcjg612u3ek801-1fdcjg61gu1i3800-43fdf7ed16e65f03,NaN,NaN,NaN,NaN,Full-time,NaN,data scientist,NaN,£10 Per Hour(Employer Est.)
