companyName,company_starRating,company_offeredRole,company_roleLocation,listing_jobDesc,requested_url,compensation_and_benefits,culture_and_values,career_opportunities,work_life_balance,job_type,industry,job_function,company_size,estimated_salary
QBE,3.7,Data Scientist,"London, England","Leverage or develop and implement analytical models to identify fraud, drive recoveries and renewals, drive profitable growth, improve underwriting, pricing and claims performance Assist in the development of commercial propositions involving the use of analytics within insurance core function through own analysis, prior experience, research and development Work with Senior Data Scientist to develop QBE’s OCR strategy and capabilities, and work with Claims stakeholders to form and work through a backlog of use cases in this area. Work with IM specialist to identify and classify new feature sets, explore machine learning algorithms to extract new feature sets Work with relevant teams to build and put models into production, quantify and analyze model performance; guide and oversee model refreshing requirements Lead analytical conversation with business around “the art of the possible using data science”, explore data from a modelling perspective, perform initial EDA to assess business value Implement fit-for-purpose analytics tools and infrastructure that will be used by the end user (e.g. claims handler) and contribute to Information Technology strategy Positively promote the department, division and company as a whole, in order to maximize brand leverage and develop team profile Build analytical application designs and prototype to test out idea and drive innovation and prototyping in an agile framework Manage analytical projects and coordinate activities with other shared service partners by prioritizing relevant activities and providing subject matter expertise Undertake personal development to ensure up to date skills and knowledge Act as a point of reference to guide and advise junior members of the team to ensure sharing of knowledge and best practice Contribute to a positive environment by demonstrating cultural expectations and guiding leaders to reward performance and value “can do” people, accountability, diversity and inclusion, flexibility, continuous improvement, collaboration, creativity and fun Adopt QBE values in personal work behaviors, decision making, contributions and interpersonal interactions; manage own career development by soliciting feedback and valuing other perspectives Strong knowledge of statistical / data mining methods and application in a business environment Good understanding of Data Science domain, statistical and analytical model development and implementations, proficient in natural language processing and machine learning techniques and related disciplines Good understanding of data modelling techniques, tools/language – R, Scala, Python, SAS etc. Good knowledge of visualization tools like PowerBI, Tableau etc. Strong project management, collaboration and communication skills Ability to apply logic and reasoning to identify solutions to complex business problems and implement solutions Business and financial acumen and curiosity to learn and keep up with market trends and innovations Ability to lead, manage and motivate a cross-functional team, engage and influence stakeholders at all levels Strong written and verbal communication skills",https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=1136006&s=58&guid=0000017b56e3d10fa802c8f81aabc79a&src=GD_JOB_AD&t=SR&vt=w&cs=1_9fcde1a1&cb=1629250376275&jobListingId=4139985344,3.7,3.7,3.2,3.8,Full-time,Insurance,data scientist,10000+ Employees,"£44,400 - £63,430 (Glassdoor Est.)"
FIS Global,3.8,Senior Data Scientist,"London, England","Experience working with senior stakeholders in commercial, product and engineering teams Advanced understanding of statistics, machine learning and data science theory and practice. Good programming skills, preferably in spark (pyspark) and Python. Solid understanding of databases architecture and SQL language Experience in delivering within Data Warehousing, Business Intelligence or Big Data projects. Experience working in Agile cross-functional teams in a project-based environment. Experience mentoring junior to mid-level data scientists Excellent verbal and written communication skills to technical and non-technical audiences of various levels in the organization; specially communicating complex analysis to non-technical stakeholders. Excellent analytical, decision-making and problem-solving skills. Experience working with very large volumes of data Experience with cloud based ML tooling, ideally AWS, but GCP, Azure, Databricks etc. experience also useful. Experience of payments or banking processes Experience in cloud computing Experience delivering projects using Agile SAFe methodology A broad range of professional education and personal development possibilities – FIS is your final career step! A competitive salary and benefits Time to support charities and give back in your community Varied and challenging work to help you grow your technical skillset",https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=1044074&s=58&guid=0000017b56e3d10fa802c8f81aabc79a&src=GD_JOB_AD&t=SR&vt=w&cs=1_cac8939c&cb=1629250376275&jobListingId=4161719161,3.5,3.7,3.5,3.7,Full-time,Finance,data scientist,10000+ Employees,"£69,778 - £96,480 (Glassdoor Est.)"
Metrica Recruitment,NaN,Senior Data Scientist,"London, England","A strong academic record including a postgraduate degree in a STEM subject from a top-ranked university Advanced programming expertise in two or more of Python, Java and SQL Experience conducting analysis on large data sets and providing rigorous interpretations of the results Solid understanding of key statistical concepts Machine learning experience",https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=1044072&s=58&guid=0000017b56e3d10fa802c8f81aabc79a&src=GD_JOB_AD&t=SR&vt=w&cs=1_c7b3a551&cb=1629250376273&jobListingId=4019898170,NaN,NaN,NaN,NaN,Full-time,Business Services,data scientist,1 to 50 Employees,"£60,909 - £78,000 (Glassdoor Est.)"
Entain,NaN,Attribution Data Scientist,"London, England","Analyze performance across channels, build attribution models, present suggestions on optimizing ROI and driving growth for all brands and territories under the Entain umbrella Create Machine Learning models and analytics that optimize the Marketing and Customer management of our online gaming products Build predictive models and machine-learning algorithms and prepare them for deployment into our live production environment Conduct research and development activities, data exploration and discovery, develop prototypes, algorithms and proof of concepts, using leading data science and innovative Big Data solutions Put forward opportunities that can be solved through advanced analytics and work to develop these Propose solutions and strategies to business challenges Extract valuable business insights and provide recommendations based on those insights Present your findings and recommendations in a visually appealing way to senior stakeholders Undertake pre-processing of structured and unstructured data for your analytics Analyse large amounts of information to discover trends and patterns Collaborate with the Data, Marketing and Product development teams Contribute to the design of solutions of monitoring and reporting for our models Perform peer QA-ing of advanced analytics activities Occasional travel to a few other offices would be required (e.g. once or twice per quarter).Specialist Skills:EssentialAdvanced use and application of data modelling conceptsStrong math skills (e.g. statistics, algebra)Proficient in the use of SQL and Python/RProficient in the use of Excel and Tableau/PowerBI or a similar visualisation toolExperience in attribution modelling or econometrics/MMMExperience in CRM modelling - CLV, churn, propensities, cross-sell, etc.Experience working in a cloud environment, like Google cloud (GCP) or Amazon cloud (AWS)Business analyst skills to translate business needs into technical requirementsAnalytics mind-set skill with the ability to turn a business question / problem into an analytics plan, deciding on what data to use, how to transform it, what methods / models to apply, how to turn the outcome into usable, actionable outputPragmatic thinking & high degree of attention to detailGood understanding of the end to end Machine Learning (ML) environmentGood communication and stakeholder management skills, including presentation skills, to communicate clearly, regularly, effectively and meaningfully at the senior level of the organizationExperience using Git or a similar version contDesiredFamiliarity with the e-Gaming industry (Sports betting, Casino, Poker, Bingo, etc.)Understanding of Markov Chain and Shapley Value methodologiesExperience designing experiments to understand incrementality e.g. conversion lift tests, blackout testsHands on experience using Google Analytics (GA) sessions dataKnowledge of marketing platforms like DCM, Facebook, Snapchat, Twitter, AppsFlyerUnderstanding of testing methodologies like Unit Testing and User Acceptance TestingExperience in using BigQuery, Dataproc, and Cloud Composer in the Google Cloud Advanced use and application of data modelling concepts Strong math skills (e.g. statistics, algebra) Proficient in the use of SQL and Python/R Proficient in the use of Excel and Tableau/PowerBI or a similar visualisation tool Experience in attribution modelling or econometrics/MMM Experience in CRM modelling - CLV, churn, propensities, cross-sell, etc. Experience working in a cloud environment, like Google cloud (GCP) or Amazon cloud (AWS) Business analyst skills to translate business needs into technical requirements Analytics mind-set skill with the ability to turn a business question / problem into an analytics plan, deciding on what data to use, how to transform it, what methods / models to apply, how to turn the outcome into usable, actionable output Pragmatic thinking & high degree of attention to detail Good understanding of the end to end Machine Learning (ML) environment Good communication and stakeholder management skills, including presentation skills, to communicate clearly, regularly, effectively and meaningfully at the senior level of the organization Experience using Git or a similar version cont Familiarity with the e-Gaming industry (Sports betting, Casino, Poker, Bingo, etc.) Understanding of Markov Chain and Shapley Value methodologies Experience designing experiments to understand incrementality e.g. conversion lift tests, blackout tests Hands on experience using Google Analytics (GA) sessions data Knowledge of marketing platforms like DCM, Facebook, Snapchat, Twitter, AppsFlyer Understanding of testing methodologies like Unit Testing and User Acceptance Testing Experience in using BigQuery, Dataproc, and Cloud Composer in the Google Cloud",https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=1044074&s=58&guid=0000017b56e3d10fa802c8f81aabc79a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_605bb991&cb=1629250376271&jobListingId=4163156817,5.0,5.0,5.0,5.0,Full-time,NaN,data scientist,NaN,NaN
SearchDATA Group,NaN,Data Scientist,"Watford, East of England, England",Performance bonus Monday to Friday No,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1044076&s=58&guid=0000017b56e3d10fa802c8f81aabc79a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_826cc71d&cb=1629250376266&jobListingId=4159812430,NaN,NaN,NaN,NaN,Full-time,Information Technology,data scientist,1 to 50 Employees,NaN
Just Eat,3.9,Data Scientist,"Bristol, England","Degree in a quantitative discipline (eg. CS, Stats, Physics). Demonstrable relevant working experience. Applied experience with machine learning, data science and solving problems at scale. Ability to communicate business outcomes and recommendations from analysis verbally and in writing, and the ability to present results coherently. Ability to develop confidently in Python as the majority of our team is using it. This doesn't mean hacking in Jupyter, we need people with a passion for software, who can read and understand complicated codebases. Confident in extracting and manipulating data from our various SQL and NoSQL data stores and storage frameworks. Practical experience with Personalization, Recommender systems or LearningToRank. Experience working on a Logistics project. Experience working with pricing algorithms. Experience in retail in similar markets to Just-Eat. Experience working in agile teams, with code reviews and source control. Comfortable with big data stores (Google BigQuery, Amazon Datastores) and tools (including dynamoDB, elasticsearch, S3, SQS, Kinesis) or Spark / Storm / Hadoop / Kafka or Neo4.",https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=1044074&s=58&guid=0000017b56e3d10fa802c8f81aabc79a&src=GD_JOB_AD&t=SR&vt=w&cs=1_382da258&cb=1629250376270&jobListingId=4148119477,3.7,3.8,3.5,4.0,Full-time,Information Technology,data scientist,5001 to 10000 Employees,NaN
Marstep Resourcing Solutions,NaN,Data Scientist NLP,"Manchester, England",Monday to Friday,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1044076&s=58&guid=0000017b56e3d10fa802c8f81aabc79a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_44c43251&cb=1629250376268&jobListingId=4146763786,NaN,NaN,NaN,NaN,Full-time,NaN,data scientist,NaN,NaN
Microsoft,4.4,Data & Applied Scientist,"London, England","Assist with development of analytic memos. Execute those memos by carefully conducting analyses. Review datasets, conduct quality reviews of those datasets and their elements, and clean data or make recommendations regarding completing data. Thoroughly check work and modify processes appropriately. Present data in interpretable and easily consumable manners (i.e. tables, graphics, visualizations). Have statistical knowledge and the ability to recommend and implement the correct statistical tests and describe those tests in text. Be able to write coherently, concisely, and grammatically correctly. Work quickly and deliberately. Meet the timelines. Take responsibility for performance. English fluency Masters degree in data science or a related field 3 years experience ingesting, cleaning, storing, and analyzing data 3 years experience working in a team to collaboratively approach a problem and generate analytic output and reports Preferred experience with demonstrated ability to publish peer-reviewed papers.",https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=1136006&s=58&guid=0000017b56e3d10fa802c8f81aabc79a&src=GD_JOB_AD&t=SR&vt=w&cs=1_d9dacbe7&cb=1629250376274&jobListingId=4145672215,4.1,4.4,4.2,4.1,Full-time,Information Technology,data scientist,10000+ Employees,NaN
Metrica Recruitment,NaN,Data Scientist - R& Python,"London, England","A stellar academic background, preferably from a numerate discipline Technical knowledge of a programming language, either R or Python Demonstrable machine learning or statistical modelling experience Strong logical reasoning and problem-solving skills",https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1044072&s=58&guid=0000017b56e3d10fa802c8f81aabc79a&src=GD_JOB_AD&t=SR&vt=w&cs=1_e4a2257f&cb=1629250376268&jobListingId=3791171574,NaN,NaN,NaN,NaN,Full-time,Business Services,data scientist,1 to 50 Employees,"£40,000 - £60,768 (Glassdoor Est.)"
Metrica Recruitment,NaN,Customer Data Scientist,"London, England","Proficiency in tools such as SQL, Python and R. 3 years' experience or more, applying statistics and data science within CRM and marketing. Strong communication skills.",https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=1044072&s=58&guid=0000017b56e3d10fa802c8f81aabc79a&src=GD_JOB_AD&t=SR&vt=w&cs=1_ffc724f6&cb=1629250376272&jobListingId=3791171616,NaN,NaN,NaN,NaN,Full-time,Business Services,data scientist,1 to 50 Employees,"£40,000 - £60,768 (Glassdoor Est.)"
Business Science,NaN,Data Scientist,United Kingdom,"Leading technologies A multitude of business domains Address business challenges by leveraging analytics and data science to provide meaningful and actionable insights to clients Manage client expectations in terms of timelines, delivery of outputs and the value provided to the business Ensure technical outputs align to business strategy to maximise ROI Assist in the development, maintenance and enhancement of statistical models, including justification for the selection of the chosen modelling techniques and approaches Implement algorithms and approaches for machine learning Selecting features, building and optimizing classifiers using machine learning techniques Establishing frameworks for the processing, cleaning, consolidating and verification of the integrity of data used for analysis 4-6 years’ experience in a technical / data scientist role Experience in statistical modelling, machine learning or data mining practice, feature selection, ensemble methods etc. Strong analytical and quantitative problem-solving ability Flexi-working Remote - Working Bonus Scheme High-end Tech High Performance Culture First interview Case Study Panel Assessments Offer",https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=1044074&s=58&guid=0000017b56e3d10fa802c8f81aabc79a&src=GD_JOB_AD&t=SR&vt=w&cs=1_b3f8a032&cb=1629250376270&jobListingId=4158890329,2.7,3.1,4.0,3.4,Full-time,NaN,data scientist,51 to 200 Employees,NaN
Metrica Recruitment,NaN,Research Data Scientist,"London, England","Masters or PhD in relevant studies e.g. maths, statistics, computer science, machine learning, etc. At least one years' experience in developing machine learning or statistical models Strong SQL skills and at least one of Python, R, Java, C, Ruby",https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1044072&s=58&guid=0000017b56e3d10fa802c8f81aabc79a&src=GD_JOB_AD&t=SR&vt=w&cs=1_b81d110d&cb=1629250376267&jobListingId=3791171554,NaN,NaN,NaN,NaN,Full-time,Business Services,data scientist,1 to 50 Employees,NaN
Just Eat,3.9,Data Scientist - Experimentation and Causal Inference,"London, England","MSc / PhD degree in a quantitative discipline (eg. econ, stats, cs, biomed, physics, epidemiology), or equivalent experience. Demonstrable experience wrangling and analysing data. Communication skills will be paramount in this role. You need the ability to communicate business outcomes and recommendations from analysis verbally, in writing and during presentations. In this stakeholder-facing role, you will also explain statistical concepts and guide decision makers on the interpretation of the results. Strong interpersonal skills: you will connect and collaborate with colleagues and stakeholders from various teams. Some experience working in agile teams, with code reviews and Git. Experience with the design/analysis of experiments (e.g. A/B tests, RCTs). Ability to develop confidently in Python and SQL (Google BQ) with a good command of software development best practices or the willingness to learn. Experience with data visualization (Tableau, DataStudio). Some familiarity with Google Analytics/Optimizely would be a plus. Expertise in causal inference techniques using both experimental and observational data (IV, matching, RDD, DiD, DAG, causal forests) would be a bonus. Experience with statistical modelling, including quantile regressions, Bayesian hierarchical models, anomaly detection, variance reduction, bootstrap and Monte Carlo simulations. Comfortable with Airflow, Docker and Big Data stores (Google BigQuery, Amazon Datastores). Experience with the wider machine learning and AI toolbox besides expertise in experimentation is beneficial. This can include multi-armed bandits, recommender systems, simulation-based techniques etc.",https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=1044074&s=58&guid=0000017b56e3d10fa802c8f81aabc79a&src=GD_JOB_AD&t=SR&vt=w&cs=1_ef741825&cb=1629250376273&jobListingId=4155586063,3.7,3.8,3.5,4.0,Full-time,Information Technology,data scientist,5001 to 10000 Employees,"£55,100 - £70,000 (Glassdoor Est.)"
